,Email addresses,IP addresses,Names,Passwords,Phone numbers,Physical addresses,Usernames,Device information,Dates of birth,Genders,Geographic locations,Employers,Job titles,Social media profiles,Password hints,Races,Relationship statuses,Sexual orientations,Spoken languages,Partial dates of birth,Website activity,Address book contacts,Apps installed on devices,Cellular network names,IMEI numbers,IMSI numbers,Profile photos,Email messages,Homepage URLs,Instant messenger identities,Salutations,Ages,Auth tokens,Employment statuses,Marital statuses,Private messages,Browser user agent details,Bios,Avatars,Ethnicities,Payment histories,Security questions and answers,Account balances,Beauty ratings,Car ownership statuses,Drinking habits,Education levels,Home ownership statuses,Income levels,Personal descriptions,Personal interests,Physical attributes,Smoking habits,Credit cards,Survey results,Career levels,User website URLs,Purchases,Historical passwords,Partial credit card data,Financial transactions,Taxation records,Government issued IDs,Payment methods,Family members' names,Biometric data,Passport numbers,Buying preferences,Charitable donations,Credit status information,Family structure,Financial investments,Net worths,Political donations,Social security numbers,Eating habits,Vehicle details,Deceased date,Utility bills,Job applications,Occupations,Religions,Purchasing habits,Sexual fetishes,School grades (class levels),Encrypted keys,Mnemonic phrases,Professional skills,Years of professional experience,Bank account numbers,Social connections,Time zones,Health insurance information,Personal health data,Nicknames,Nationalities,Recovery email addresses,Living costs,Mothers maiden names,Places of birth,Spouses names,Deceased statuses,Astrological signs,Drug habits,Fitness levels,Parenting plans,Political views,Travel habits,Work habits,Device usage tracking data,Age groups,Chat logs,User statuses,Home loan information,Licence plates,Customer feedback,PINs,Credit card CVV,Password strengths,Audio recordings,Browsing histories,Photos,SMS messages,Support tickets,Customer interactions,MAC addresses,Device serial numbers,Login histories,Reward program balances
Email addresses,533,236,235,437,135,110,297,12,141,94,71,23,20,27,1,1,4,6,13,3,76,1,1,1,2,2,3,8,2,8,6,2,7,1,8,26,10,5,7,7,9,11,7,1,1,4,6,5,9,3,2,7,4,4,1,1,5,19,5,14,1,1,8,1,3,1,4,1,1,5,6,2,2,1,3,1,2,1,1,2,3,5,1,2,1,1,1,1,1,4,5,5,2,2,2,3,1,1,1,1,1,1,1,2,1,1,2,1,1,0,3,2,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1
IP addresses,236,238,96,203,52,45,167,8,84,47,39,6,6,14,0,1,1,4,8,2,55,1,1,1,2,1,2,3,2,8,1,2,4,1,5,22,9,3,5,2,5,10,4,1,1,2,3,3,5,2,2,3,3,2,1,0,3,10,5,9,2,0,2,1,1,0,2,0,0,4,2,1,1,0,2,1,0,0,0,1,2,2,1,1,0,0,0,0,0,4,3,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,1,1,1,2,1,1,1,0,0,0
Names,235,96,237,160,129,107,80,9,96,78,50,21,20,26,0,0,3,4,9,1,27,1,1,1,2,1,3,4,0,2,6,1,7,1,9,6,8,4,3,7,7,9,6,1,1,4,6,5,9,3,2,7,4,3,1,1,2,17,1,14,2,1,8,1,2,1,4,1,1,5,6,2,2,1,3,1,2,1,1,2,3,5,1,1,1,0,0,1,1,5,3,1,2,2,1,3,0,1,1,1,1,1,1,2,1,1,2,1,1,0,3,0,0,1,1,1,2,1,1,1,1,1,2,0,1,1,0,0,0
Passwords,437,203,160,441,82,58,283,8,105,67,57,5,5,18,1,0,1,4,11,2,68,0,0,0,1,0,2,3,2,8,3,2,5,1,5,25,6,5,4,2,6,7,4,1,1,3,4,1,3,3,1,4,2,5,1,1,5,8,5,9,1,0,6,1,2,0,2,0,0,1,0,0,0,0,1,1,1,1,1,2,1,2,0,2,1,1,1,0,0,1,3,5,0,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,1,0,2,2,1,1,1,1,2,0,1,1,1,1,2,1,1,1,0,0,1
Phone numbers,135,52,129,82,138,89,32,5,58,44,26,19,17,14,0,0,1,2,7,0,10,1,1,1,1,1,3,2,0,0,5,0,4,0,7,1,6,1,1,4,4,7,5,0,0,0,3,4,5,0,1,1,1,3,1,1,1,14,1,10,1,1,7,0,1,1,4,1,1,4,5,2,2,1,3,0,2,1,1,2,3,2,1,1,0,0,0,0,0,5,1,1,2,2,0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,0,0,0,0,1,0,1,1,0,0,0
Physical addresses,110,45,107,58,89,112,26,2,51,41,4,15,12,5,0,0,0,1,3,0,12,0,0,0,0,0,0,2,0,0,2,1,1,1,8,2,5,0,1,4,7,8,5,0,0,0,2,4,6,1,1,1,1,3,0,1,1,16,1,8,1,1,6,1,2,1,3,1,1,5,5,2,2,1,3,0,2,1,1,0,2,2,1,0,0,0,0,0,0,5,1,0,2,2,0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0
Usernames,297,167,80,283,32,26,300,4,77,45,41,1,2,10,1,1,2,4,7,2,63,0,0,0,0,0,1,0,0,6,2,1,5,0,3,22,4,4,5,2,5,7,5,0,0,2,2,0,1,1,0,3,1,5,1,0,4,6,4,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,1,1,0,2,2,0,0,1,1,1,0,0,0,0,0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Device information,12,8,9,8,5,2,4,12,4,5,5,0,0,4,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0
Dates of birth,141,84,96,105,58,51,77,4,142,68,37,5,8,9,0,1,4,6,9,0,32,1,1,1,1,1,2,0,2,6,0,0,3,0,8,6,3,2,3,7,4,11,5,1,1,4,5,5,8,2,2,7,4,0,0,0,3,4,3,2,2,0,4,1,2,1,3,1,1,4,6,2,2,1,2,1,1,1,1,2,2,5,1,2,1,0,0,0,0,4,4,2,2,2,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0
Genders,94,47,78,67,44,41,45,5,68,96,34,4,6,11,0,1,4,6,8,3,17,1,1,1,1,1,2,1,0,0,1,2,6,1,8,2,3,2,1,7,4,8,3,1,1,4,4,4,6,2,2,6,3,2,0,0,1,3,0,2,1,0,4,1,2,1,3,0,0,2,5,1,1,0,0,0,1,1,1,0,2,5,1,2,0,0,0,0,0,3,3,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,2,1,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
Geographic locations,71,39,50,57,26,4,41,5,37,34,74,6,8,13,0,1,4,5,6,2,10,1,1,1,2,2,2,1,0,2,1,0,3,0,3,6,0,3,2,2,0,3,0,1,1,4,4,1,3,2,1,4,3,0,1,0,2,0,2,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,1,1,2,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0
Employers,23,6,21,5,19,15,1,0,5,4,6,23,12,4,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Job titles,20,6,20,5,17,12,2,0,8,6,8,12,20,5,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,1,2,2,3,3,2,1,3,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social media profiles,27,14,26,18,14,5,10,4,9,11,13,4,5,27,0,0,0,1,0,1,1,1,1,1,1,1,2,0,0,0,2,1,5,1,2,2,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Password hints,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Races,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relationship statuses,4,1,3,1,1,0,2,0,4,4,4,1,1,0,0,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual orientations,6,4,4,4,2,1,4,0,6,6,5,0,1,1,0,1,2,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,1,3,2,1,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spoken languages,13,8,9,11,7,3,7,0,9,8,6,0,1,0,0,1,1,1,14,0,4,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,1,0,1,1,0,2,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Partial dates of birth,3,2,1,2,0,0,2,0,0,3,2,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Website activity,76,55,27,68,10,12,63,0,32,17,10,2,2,1,0,0,1,3,4,1,76,0,0,0,0,0,0,1,1,6,1,0,0,0,0,10,5,0,5,2,6,7,5,1,1,2,3,1,2,2,1,2,1,0,0,1,2,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Address book contacts,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apps installed on devices,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellular network names,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMEI numbers,2,2,2,1,1,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
IMSI numbers,2,1,1,0,1,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Profile photos,3,2,3,2,3,0,1,1,2,2,2,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Email messages,8,3,4,3,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homepage URLs,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instant messenger identities,8,8,2,8,0,0,6,0,6,0,2,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,2,8,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salutations,6,1,6,3,5,2,2,1,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ages,2,2,1,2,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auth tokens,7,4,7,5,4,1,5,1,3,6,3,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,7,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Employment statuses,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marital statuses,8,5,9,5,7,8,3,0,8,8,3,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,1,0,0,0,1,0,1,0,0,0,1,1,2,3,0,1,2,1,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1,1,2,3,2,2,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Private messages,26,22,6,25,1,2,22,0,6,2,6,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,1,2,1,1,26,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Browser user agent details,10,9,8,6,6,5,4,0,3,3,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
